code	diisplay	definition
1852-3	Bering Straits Inupiat	Bering Straits Inupiat
1853-1	Brevig Mission	Brevig Mission
1854-9	Buckland	Buckland
1855-6	Chinik	Chinik
1856-4	Council	Council
1857-2	Deering	Deering
1858-0	Elim	Elim
1859-8	Golovin	Golovin
1860-6	Inalik Diomede	Inalik Diomede
1861-4	Inupiaq	Inupiaq
1862-2	Kaktovik	Kaktovik
1863-0	Kawerak	Kawerak
1864-8	Kiana	Kiana
1865-5	Kivalina	Kivalina
1866-3	Kobuk	Kobuk
1867-1	Kotzebue	Kotzebue
1868-9	Koyuk	Koyuk
1869-7	Kwiguk	Kwiguk
1870-5	Mauneluk Inupiat	Mauneluk Inupiat
1871-3	Nana Inupiat	Nana Inupiat
1872-1	Noatak	Noatak
1873-9	Nome	Nome
1874-7	Noorvik	Noorvik
1875-4	Nuiqsut	Nuiqsut
1876-2	Point Hope	Point Hope
1877-0	Point Lay	Point Lay
1878-8	Selawik	Selawik
1879-6	Shaktoolik	Shaktoolik
1880-4	Shishmaref	Shishmaref
1881-2	Shungnak	Shungnak
1882-0	Solomon	Solomon
1883-8	Teller	Teller
1884-6	Unalakleet	Unalakleet
1885-3	Wainwright	Wainwright
1886-1	Wales	Wales
1887-9	White Mountain	White Mountain
1888-7	White Mountain Inupiat	White Mountain Inupiat
1889-5	Mary's Igloo	Mary's Igloo
1892-9	Gambell	Gambell
1893-7	Savoonga	Savoonga
1894-5	Siberian Yupik	Siberian Yupik
1897-8	Akiachak	Akiachak
1898-6	Akiak	Akiak
1899-4	Alakanuk	Alakanuk
1900-0	Aleknagik	Aleknagik
1901-8	Andreafsky	Andreafsky
1902-6	Aniak	Aniak
1903-4	Atmautluak	Atmautluak
1904-2	Bethel	Bethel
1905-9	Bill Moore's Slough	Bill Moore's Slough
1906-7	Bristol Bay Yupik	Bristol Bay Yupik
1907-5	Calista Yupik	Calista Yupik
1908-3	Chefornak	Chefornak
1909-1	Chevak	Chevak
1910-9	Chuathbaluk	Chuathbaluk
1911-7	Clark's Point	Clark's Point
1912-5	Crooked Creek	Crooked Creek
1913-3	Dillingham	Dillingham
1914-1	Eek	Eek
1915-8	Ekuk	Ekuk
1916-6	Ekwok	Ekwok
1917-4	Emmonak	Emmonak
1918-2	Goodnews Bay	Goodnews Bay
1919-0	Hooper Bay	Hooper Bay
1920-8	Iqurmuit (Russian Mission)	Iqurmuit (Russian Mission)
1921-6	Kalskag	Kalskag
1922-4	Kasigluk	Kasigluk
1923-2	Kipnuk	Kipnuk
1924-0	Koliganek	Koliganek
1925-7	Kongiganak	Kongiganak
1926-5	Kotlik	Kotlik
1927-3	Kwethluk	Kwethluk
1928-1	Kwigillingok	Kwigillingok
1929-9	Levelock	Levelock
1930-7	Lower Kalskag	Lower Kalskag
1931-5	Manokotak	Manokotak
1932-3	Marshall	Marshall
1933-1	Mekoryuk	Mekoryuk
1934-9	Mountain Village	Mountain Village
1935-6	Naknek	Naknek
1936-4	Napaumute	Napaumute
1937-2	Napakiak	Napakiak
1938-0	Napaskiak	Napaskiak
1939-8	Newhalen	Newhalen
1940-6	New Stuyahok	New Stuyahok
1941-4	Newtok	Newtok
1942-2	Nightmute	Nightmute
1943-0	Nunapitchukv	Nunapitchukv
1944-8	Oscarville	Oscarville
1945-5	Pilot Station	Pilot Station
1946-3	Pitkas Point	Pitkas Point
1947-1	Platinum	Platinum
1948-9	Portage Creek	Portage Creek
1949-7	Quinhagak	Quinhagak
1950-5	Red Devil	Red Devil
1951-3	St. Michael	St. Michael
1952-1	Scammon Bay	Scammon Bay
1953-9	Sheldon's Point	Sheldon's Point
1954-7	Sleetmute	Sleetmute
1955-4	Stebbins	Stebbins
1956-2	Togiak	Togiak
1957-0	Toksook	Toksook
1958-8	Tulukskak	Tulukskak
1959-6	Tuntutuliak	Tuntutuliak
1960-4	Tununak	Tununak
1961-2	Twin Hills	Twin Hills
1962-0	Georgetown (Yupik-Eskimo)	Georgetown (Yupik-Eskimo)
1963-8	St. Mary's	St. Mary's
1964-6	Umkumiate	Umkumiate
1968-7	Alutiiq Aleut	Alutiiq Aleut
1972-9	Bristol Bay Aleut	Bristol Bay Aleut
1984-4	Chugach Aleut	Chugach Aleut
1990-1	Eyak	Eyak
1992-7	Koniag Aleut	Koniag Aleut
2002-4	Sugpiaq	Sugpiaq
2004-0	Suqpigaq	Suqpigaq
2006-5	Unangan Aleut	Unangan Aleut
1969-5	Tatitlek	Tatitlek
1970-3	Ugashik	Ugashik
1973-7	Chignik	Chignik
1974-5	Chignik Lake	Chignik Lake
1975-2	Egegik	Egegik
1976-0	Igiugig	Igiugig
1977-8	Ivanof Bay	Ivanof Bay
1978-6	King Salmon	King Salmon
1979-4	Kokhanok	Kokhanok
1980-2	Perryville	Perryville
1981-0	Pilot Point	Pilot Point
1982-8	Port Heiden	Port Heiden
1985-1	Chenega	Chenega
1986-9	Chugach Corporation	Chugach Corporation
1987-7	English Bay	English Bay
1988-5	Port Graham	Port Graham
1993-5	Akhiok	Akhiok
1994-3	Agdaagux	Agdaagux
1995-0	Karluk	Karluk
1996-8	Kodiak	Kodiak
1997-6	Larsen Bay	Larsen Bay
1998-4	Old Harbor	Old Harbor
1999-2	Ouzinkie	Ouzinkie
2000-8	Port Lions	Port Lions
2007-3	Akutan	Akutan
2008-1	Aleut Corporation	Aleut Corporation
2009-9	Aleutian	Aleutian
2010-7	Aleutian Islander	Aleutian Islander
2011-5	Atka	Atka
2012-3	Belkofski	Belkofski
2013-1	Chignik Lagoon	Chignik Lagoon
2014-9	King Cove	King Cove
2015-6	False Pass	False Pass
2016-4	Nelson Lagoon	Nelson Lagoon
2017-2	Nikolski	Nikolski
2018-0	Pauloff Harbor	Pauloff Harbor
2019-8	Qagan Toyagungin	Qagan Toyagungin
2020-6	Qawalangin	Qawalangin
2021-4	St. George	St. George
2022-2	St. Paul	St. Paul
2023-0	Sand Point	Sand Point
2024-8	South Naknek	South Naknek
2025-5	Unalaska	Unalaska
2026-3	Unga	Unga
2029-7	Asian Indian	Asian Indian
2030-5	Bangladeshi	Bangladeshi
2031-3	Bhutanese	Bhutanese
2032-1	Burmese	Burmese
2033-9	Cambodian	Cambodian
2034-7	Chinese	Chinese
2035-4	Taiwanese	Taiwanese
2036-2	Filipino	Filipino
2037-0	Hmong	Hmong
2038-8	Indonesian	Indonesian
2039-6	Japanese	Japanese
2040-4	Korean	Korean
2041-2	Laotian	Laotian
2042-0	Malaysian	Malaysian
2043-8	Okinawan	Okinawan
2044-6	Pakistani	Pakistani
2045-3	Sri Lankan	Sri Lankan
2046-1	Thai	Thai
2047-9	Vietnamese	Vietnamese
2048-7	Iwo Jiman	Iwo Jiman
2049-5	Maldivian	Maldivian
2050-3	Nepalese	Nepalese
2051-1	Singaporean	Singaporean
2052-9	Madagascar	Madagascar
2056-0	Black	Black
2058-6	African American	African American
